Position,Hand,Hand Type,Recommended Action
SB,KTs,Speculative,"Call if no raise, fold to raise"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
SB,AQs,Strong,"Raise, call 3-bet in position"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
MP,KK,Premium,Raise (almost always)
SB,T9s,Speculative,"Call if no raise, fold to raise"
MP,AA,Premium,Raise (almost always)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,QQ,Premium,Raise (almost always)
CO,T9s,Speculative,Fold (not profitable OOP)
MP,J9s,Marginal,Fold (too weak early)
BTN,KK,Premium,Raise (almost always)
BTN,TT,Strong,"Raise, call 3-bet in position"
CO,JJ,Strong,"Raise, call 3-bet in position"
MP,KK,Premium,Raise (almost always)
BB,83o,Trash,Fold (unplayable)
BB,KQs,Strong,"Call, fold to large 3-bet"
SB,AJs,Strong,"Raise, call 3-bet in position"
BB,98s,Speculative,"Call if no raise, fold to raise"
CO,AKs,Premium,Raise (almost always)
BTN,22,Marginal,"Call if folded to, fold to aggression"
SB,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,AA,Premium,Raise (almost always)
SB,JJ,Strong,"Raise, call 3-bet in position"
CO,KJo,Marginal,"Call if folded to, fold to aggression"
CO,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,22,Marginal,Fold (too weak early)
UTG+1,22,Marginal,Fold (too weak early)
UTG+1,T3o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
MP,J9s,Marginal,Fold (too weak early)
CO,AQs,Strong,"Raise, call 3-bet in position"
HJ,98s,Speculative,Fold (not profitable OOP)
UTG+1,QTo,Marginal,Fold (too weak early)
UTG+1,95o,Trash,Fold (unplayable)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
SB,72o,Trash,Fold (unplayable)
MP,22,Marginal,Fold (too weak early)
CO,KTs,Speculative,Fold (not profitable OOP)
HJ,83o,Trash,Fold (unplayable)
HJ,83o,Trash,Fold (unplayable)
BB,AJs,Strong,"Call, fold to large 3-bet"
BTN,A5s,Speculative,"Call if no raise, fold to raise"
SB,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
CO,KTs,Speculative,Fold (not profitable OOP)
SB,AA,Premium,Raise (almost always)
BB,KQs,Strong,"Call, fold to large 3-bet"
MP,QQ,Premium,Raise (almost always)
MP,AQs,Strong,"Call, fold to large 3-bet"
UTG,22,Marginal,Fold (too weak early)
SB,KK,Premium,Raise (almost always)
